name,lat,lon,street,city,state,zip,address,region,phone,style,good
FIG,34.017771,-118.50141,101 Wilshire Blvd,Santa Monica,CA,90401,"101 Wilshire Blvd, Santa Monica, CA 90401",USA/Southern CA,310-319-3111,fine dining,"california farm to table, organic, formal"
Flake,33.998267,-118.473977,513 Rose Ave,Venice,CA,90291,"513 Rose Ave, Venice, CA 90291",USA/Southern CA,310-396-2333,neighborhood joint,"breakfast, coffee, lunch, locals, takeout"
Flores,34.040378,-118.443027,2024 Sawtelle Blvd,Los Angeles,CA,90025,"2024 Sawtelle Blvd, Los Angeles, CA 90025",USA/Southern CA,(424) 273-6469,restaurant  ,"california farm to table, organic, formal"
Pork Belly ,34.040289,-118.442456,1146 Abbot Kinney Blvd,Venice,CA,90291,"1146 Abbot Kinney Blvd, Venice, CA 90291",USA/Southern CA,(424) 777-8875,sandwich shop,"pork sandwiches, late night"
Wurstkutche,33.99972,-118.464965,625 Lincoln Blvd,Venice,CA,90291,"625 Lincoln Blvd, Venice, CA 90291",USA/Southern CA,(213) 687-4444,restaurant & bar,sausages & beer
